0,0
5,0
11,0
17,0
22,0
28,0
33,0
39,0
44,0
49,0
56,0
61,0
67,0
72,0
77,0
83,0
88,0
94,0
100,0
105,0
111,0
116,0
122,0
127,0
133,0
138,0
144,0
150,0
155,0
161,0
166,0
172,0
177,0
184,0
189,0
194,0
200,0
205,0
211,0
216,0
222,0
228,0
234,0
239,0
244,0
250,0
255,0
261,0
266,0
273,0
278,0
283,0
289,0
294,0
300,0
305,0
312,0
317,0
323,0
328,0
333,0
339,0
344,0
350,0
356,0
362,0
367,0
372,0
378,0
383,0
389,0
394,0
401,0
406,0
412,0
417,0
422,0
428,0
433,0
440,0
445,0
451,0
456,0
461,0
467,0
472,0
478,0
484,0
490,0
495,0
501,0
506,0
511,0
517,0
522,0
529,0
534,0
540,0
545,0
550,0
556,0
561,0
568,0
573,0
579,0
584,0
590,0
595,0
600,0
606,0
612,0
618,0
623,0
629,0
634,0
639,0
645,0
650,0
657,0
662,0
668,0
673,0
679,0
684,0
689,0
696,0
701,0
707,0
712,0
718,0
723,0
729,0
734,0
740,0
746,0
751,0
757,0
762,0
768,0
773,0
778,0
785,0
790,0
796,0
801,0
807,0
812,0
818,0
824,0
829,0
835,0
840,0
846,0
851,0
857,0
862,0
868,0
874,0
879,0
885,0
890,0
896,0
901,0
907,0
913,0
918,0
924,0
929,0
935,0
940,0
946,0
952,0
957,0
963,0
968,0
974,0
979,0
985,0
990,0
997,0
1002,0
1008,0.16
1013,0.2
1019,0.4
1025,0.54
1030,0.57
1037,0.4
1043,0.54
1048,0.57
1054,0.47
1060,0.47
1065,0.49
1071,0.4
1077,0.47
1084,0.54
1089,0.47
1095,0.54
1101,0.65
1106,0.54
1112,0.47
1118,0.73
1124,0.52
1130,0.61
1136,0.89
1141,0.74
1147,0.67
1153,0.74
1158,0.89
1165,0.64
1171,0.81
1177,0.97
1182,0.81
1188,0.81
1194,0.97
1199,0.88
1205,0.81
1212,0.81
1217,0.81
1223,0.88
1229,0.88
1234,1.13
1240,0.81
1246,0.94
1253,0.88
1258,0.94
1264,0.94
1270,1.13
1275,0.88
1281,0.94
1287,0.94
1294,0.94
1299,1.01
1305,0.94
1311,1.21
1316,0.94
1322,1.01
1328,0.94
1333,1.13
1340,0.87
1346,1.01
1352,1.29
1357,1.01
1363,0.94
1369,1.21
1374,1.01
1381,0.87
1387,1.01
1393,1.29
1398,1.01
1404,1.01
1410,1.21
1415,1.01
1422,0.87
1428,1.01
1433,1.29
1439,1.08
1445,1.01
1451,1.21
1456,1.08
1462,1.01
1469,0.87
1474,1.29
1480,1.08
1486,1.08
1492,1.21
1497,1.01
1503,1.08
1510,0.92
1515,1.21
1521,1.08
1527,1.01
1533,1.29
1538,1.01
1544,1.08
1551,0.87
1556,1.21
1562,1.08
1568,1.08
1574,1.29
1579,1.01
1585,1.01
1592,1.21
1597,0.92
1603,1.01
1609,1.08
1615,1.38
1620,1.08
1626,1.01
1632,1.29
1638,0.87
1644,1.01
1650,1.08
1656,1.29
